timestamp,run_stamp,set_number,image_in_set,global_image_number,avg_temp_C,filename
2026-04-22T13:56:41,20260422_135442,1,1,1,26.38,01_avg_26.38C.png
2026-04-22T13:56:44,20260422_135442,1,2,2,26.33,02_avg_26.33C.png
2026-04-22T13:56:47,20260422_135442,1,3,3,26.33,03_avg_26.33C.png
2026-04-22T13:56:50,20260422_135442,1,4,4,26.36,04_avg_26.36C.png
2026-04-22T13:56:53,20260422_135442,1,5,5,26.47,05_avg_26.47C.png
2026-04-22T13:56:56,20260422_135442,1,6,6,26.43,06_avg_26.43C.png
2026-04-22T13:56:59,20260422_135442,1,7,7,26.35,07_avg_26.35C.png
2026-04-22T13:57:02,20260422_135442,1,8,8,26.34,08_avg_26.34C.png
2026-04-22T13:57:05,20260422_135442,1,9,9,26.55,09_avg_26.55C.png
2026-04-22T13:57:08,20260422_135442,1,10,10,26.55,10_avg_26.55C.png
2026-04-22T13:57:11,20260422_135442,1,11,11,26.88,11_avg_26.88C.png
2026-04-22T13:57:14,20260422_135442,1,12,12,26.85,12_avg_26.85C.png
2026-04-22T13:57:17,20260422_135442,1,13,13,26.86,13_avg_26.86C.png
2026-04-22T13:57:20,20260422_135442,1,14,14,27.10,14_avg_27.10C.png
2026-04-22T13:57:23,20260422_135442,1,15,15,27.18,15_avg_27.18C.png
2026-04-22T13:57:52,20260422_135442,2,1,16,27.95,16_avg_27.95C.png
2026-04-22T13:57:55,20260422_135442,2,2,17,27.90,17_avg_27.90C.png
2026-04-22T13:57:58,20260422_135442,2,3,18,27.98,18_avg_27.98C.png
2026-04-22T13:58:01,20260422_135442,2,4,19,28.02,19_avg_28.02C.png
2026-04-22T13:58:04,20260422_135442,2,5,20,28.00,20_avg_28.00C.png
2026-04-22T13:58:08,20260422_135442,2,6,21,28.05,21_avg_28.05C.png
2026-04-22T13:58:11,20260422_135442,2,7,22,28.05,22_avg_28.05C.png
2026-04-22T13:58:14,20260422_135442,2,8,23,28.05,23_avg_28.05C.png
2026-04-22T13:58:17,20260422_135442,2,9,24,27.80,24_avg_27.80C.png
2026-04-22T13:58:20,20260422_135442,2,10,25,28.10,25_avg_28.10C.png
2026-04-22T13:58:23,20260422_135442,2,11,26,28.45,26_avg_28.45C.png
2026-04-22T13:58:26,20260422_135442,2,12,27,28.35,27_avg_28.35C.png
2026-04-22T13:58:29,20260422_135442,2,13,28,28.47,28_avg_28.47C.png
2026-04-22T13:58:32,20260422_135442,2,14,29,28.75,29_avg_28.75C.png
2026-04-22T13:58:35,20260422_135442,2,15,30,28.43,30_avg_28.43C.png
2026-04-22T14:03:25,20260422_135442,3,1,31,28.78,31_avg_28.78C.png
2026-04-22T14:03:28,20260422_135442,3,2,32,28.78,32_avg_28.78C.png
2026-04-22T14:03:31,20260422_135442,3,3,33,28.82,33_avg_28.82C.png
2026-04-22T14:03:34,20260422_135442,3,4,34,28.81,34_avg_28.81C.png
2026-04-22T14:03:37,20260422_135442,3,5,35,28.71,35_avg_28.71C.png
2026-04-22T14:03:40,20260422_135442,3,6,36,28.70,36_avg_28.70C.png
2026-04-22T14:03:43,20260422_135442,3,7,37,29.03,37_avg_29.03C.png
2026-04-22T14:03:46,20260422_135442,3,8,38,28.93,38_avg_28.93C.png
2026-04-22T14:03:49,20260422_135442,3,9,39,28.87,39_avg_28.87C.png
2026-04-22T14:03:52,20260422_135442,3,10,40,29.43,40_avg_29.43C.png
2026-04-22T14:03:55,20260422_135442,3,11,41,29.23,41_avg_29.23C.png
2026-04-22T14:03:58,20260422_135442,3,12,42,29.01,42_avg_29.01C.png
2026-04-22T14:04:01,20260422_135442,3,13,43,28.89,43_avg_28.89C.png
2026-04-22T14:04:04,20260422_135442,3,14,44,28.97,44_avg_28.97C.png
2026-04-22T14:04:07,20260422_135442,3,15,45,28.99,45_avg_28.99C.png
